crash_record_id,record_id,record_type,notes
3c33ea1166d5cc4a44466df97b816ab8bda3d7559dfba90d0eec270613dbad17efdf03cbaaa228fe4d77ab53a613d78a965b95030f5fc5f9f8fde500080695ae,781460,vehicle,this was caught in the incap-tally-2x-injuries-incapacitating.sql query
3c33ea1166d5cc4a44466df97b816ab8bda3d7559dfba90d0eec270613dbad17efdf03cbaaa228fe4d77ab53a613d78a965b95030f5fc5f9f8fde500080695ae,781461,vehicle,this was caught in the incap-tally-2x-injuries-incapacitating.sql query
3f5a964559983bbf450fd0d0eaa2685788f8aacb72ce65a964519e410fa10865ace374607486d88c25017826df3cebbad640c5340905f36bba68e3a31efad78d,3f5a964559983bbf450fd0d0eaa2685788f8aacb72ce65a964519e410fa10865ace374607486d88c25017826df3cebbad640c5340905f36bba68e3a31efad78d,crash,crash_type=ANIMAL
407c52a5d3b4f7215b3f2c2e43be799e102f64c62a7121f0986adee3ca2c863978ae390bb3796fe56a05c0c8b9a053a1408bd374a18780dc1c26a4c230b16745,407c52a5d3b4f7215b3f2c2e43be799e102f64c62a7121f0986adee3ca2c863978ae390bb3796fe56a05c0c8b9a053a1408bd374a18780dc1c26a4c230b16745,crash,crash_type=ANIMAL
478f0fe752a668fb2895f0e96eef317209789ebddc5656c7b74ec74e0d71c5535ba100b297a8db5e33eba7f5090425845d7dd92765e061d4912b7142d869697f,O874246,person,
478f0fe752a668fb2895f0e96eef317209789ebddc5656c7b74ec74e0d71c5535ba100b297a8db5e33eba7f5090425845d7dd92765e061d4912b7142d869697f,868213,vehicle,
47cfe6d1091e826051d7a82680cdc099aa5bcf2c245f84b10752bfab5d3bef351897fd6b88788e7d18e5b53ed33745c15dd954102434f0a197b2db858855a20f,47cfe6d1091e826051d7a82680cdc099aa5bcf2c245f84b10752bfab5d3bef351897fd6b88788e7d18e5b53ed33745c15dd954102434f0a197b2db858855a20f,crash,crash_type=ANIMAL
493415b03013815bbffc7c1bbe0a99af8c58c2ec81cebfb9d22702c7ca83abcde22787a61bfd8fc4e0eedd4bc18afde1a08c768328038b379839e9dc0ad9edb8,O888298,person,likely pedestrian and all motorists duped
493415b03013815bbffc7c1bbe0a99af8c58c2ec81cebfb9d22702c7ca83abcde22787a61bfd8fc4e0eedd4bc18afde1a08c768328038b379839e9dc0ad9edb8,O888299,person,likely pedestrian and all motorists duped
493415b03013815bbffc7c1bbe0a99af8c58c2ec81cebfb9d22702c7ca83abcde22787a61bfd8fc4e0eedd4bc18afde1a08c768328038b379839e9dc0ad9edb8,P202882,person,likely pedestrian and all motorists duped
493415b03013815bbffc7c1bbe0a99af8c58c2ec81cebfb9d22702c7ca83abcde22787a61bfd8fc4e0eedd4bc18afde1a08c768328038b379839e9dc0ad9edb8,842655,vehicle,likely pedestrian and all motorists duped
66a8e07102d210ff9491bd9f56e26b920cacc5e01b234974dec783e3722db0420840f3a3db5a2c8825b1cf5ba73312b713d95af8805a3716e37b1f1a00392fdd,66a8e07102d210ff9491bd9f56e26b920cacc5e01b234974dec783e3722db0420840f3a3db5a2c8825b1cf5ba73312b713d95af8805a3716e37b1f1a00392fdd,crash,crash_type=ANIMAL
69618bea78c1793bf238fec00dc110e4146e69a7f738df31770c952e3ad6099081d5a6c090527dfa19e323552c478732b94f7e88fe3925abb2d0751f37fa441f,69618bea78c1793bf238fec00dc110e4146e69a7f738df31770c952e3ad6099081d5a6c090527dfa19e323552c478732b94f7e88fe3925abb2d0751f37fa441f,crash,crash_type=ANIMAL
6c86ffbce62415d70aa0445aafc50eb105f5bf9dee05fd8b05ddbfc2db442418451ef7e00a843fd8aaf7de201559e124063fb81ab9b41f14b3905eb9a7846d39,6c86ffbce62415d70aa0445aafc50eb105f5bf9dee05fd8b05ddbfc2db442418451ef7e00a843fd8aaf7de201559e124063fb81ab9b41f14b3905eb9a7846d39,crash,crash_type=ANIMAL
6cd7273488efca42c3609dd0ba344ed1bb7f282f930c3055b82abc4551a2fccb38799a29e6ee493761645b0050492935e63d4ba5988852e7ad667081e98f2cd4,6cd7273488efca42c3609dd0ba344ed1bb7f282f930c3055b82abc4551a2fccb38799a29e6ee493761645b0050492935e63d4ba5988852e7ad667081e98f2cd4,crash,crash_type=ANIMAL
71248e69f179c3850c7b7a04bc6f0feca69dae5c15b8251ab4e9e111a9eeb5997e678c15ea2ddee587196e31dbafe2c5d442e4e7a91103f8f6b851d328d1200a,O511070,person,likely (fatal) pedestrian duplicated; vehicles are fine
7a3ae5c06a70aff149c926ee4aa07b83bd4a5b384ed1d2a29965ba469d5651262c7413991423c6363c19be9cf7cbbfe941f9e19cfeefefb237b42ad88f62d0b7,O870676,person,driver dupe
7a3ae5c06a70aff149c926ee4aa07b83bd4a5b384ed1d2a29965ba469d5651262c7413991423c6363c19be9cf7cbbfe941f9e19cfeefefb237b42ad88f62d0b7,826028,vehicle,driver dupe
